V1 V2 V3
0.05 4 4 4
0.06 5 5 4
0.07 5 6 5
0.08 6 7 6
0.09 7 7 7
0.1 7 8 7
0.11 8 9 8
0.12 9 10 9
0.13 10 11 9
0.14 10 12 10
0.15 11 13 11
0.16 12 13 12
0.17 13 14 12
0.18 14 15 13
0.19 14 16 14
0.2 15 17 15
