V1 V2 V3
0.1 8 9 8
0.2 16 18 16
0.3 26 30 25
0.4 37 43 36
0.5 50 59 49
0.6 70 80 67
0.7 100 112 96
0.8 155 169 146
0.9 278 288 249
0.95 427 427 371
