V1 V2 V3
0.05 4 4 4
0.06 5 5 5
0.07 5 6 5
0.08 6 7 6
0.09 7 8 7
0.1 8 9 8
0.11 9 10 8
0.12 9 11 9
0.13 10 12 10
0.14 11 13 11
0.15 12 13 12
0.16 13 14 12
0.17 14 15 13
0.18 14 16 14
0.19 15 17 15
0.2 16 18 16
