"SRR1917694_sorted"	"SRR1917695_sorted"	"SRR1917696_sorted"	"SRR1917697_sorted"	"SRR1917698_sorted"	"SRR1917699_sorted"	"SRR1917700_sorted"	"SRR1917701_sorted"	"SRR1917702_sorted"	"SRR1917703_sorted"	"SRR1917704_sorted"	"SRR1917705_sorted"	"SRR1917706_sorted"	"SRR1917707_sorted"	"SRR1917708_sorted"	"SRR1917709_sorted"	"SRR1917710_sorted"	"SRR1917711_sorted"	"SRR1917712_sorted"	"SRR1917713_sorted"	"SRR1917714_sorted"	"SRR1917715_sorted"
"gene:Rv0040c"	978	455	714	3188	3607	2092	2787	1939	1136	6488	5274	2098	212	977	1296	605	281	381	8198	14552	525	400
"gene:Rv0041"	1031	491	906	2678	3317	2627	3558	2028	1216	6070	4799	1903	323	2029	2014	2229	1106	1320	5232	9027	729	530
"gene:Rv0042c"	1151	620	1265	2848	3518	2407	3812	2082	1130	6182	5296	1481	270	1445	1755	755	345	442	4882	8992	526	279
"gene:Rv0043c"	226	119	207	746	987	650	825	513	249	1357	1125	409	114	643	677	521	305	305	1427	2739	155	120
"gene:Rv0044c"	272	95	232	533	681	502	694	397	173	897	701	236	73	565	587	355	160	191	914	1555	116	60
"gene:Rv0045c"	240	100	190	881	1318	833	1092	584	353	2140	1742	707	130	850	931	1367	650	806	1203	2283	532	227
"gene:Rv0046c"	913	325	772	2492	2737	2232	3080	1883	1349	4932	4247	1154	203	1334	1349	2114	1030	2171	4309	7713	2162	819
"gene:Rv0047c"	391	205	470	1327	1374	1255	2185	1239	680	2926	1905	559	119	747	1056	2187	1248	1575	1740	2675	942	465
"gene:Rv0048c"	141	69	145	521	597	359	535	287	177	1139	854	271	58	383	428	771	391	469	798	1486	111	59
"gene:Rv0049"	1391	599	958	3599	4351	3345	4321	2520	1497	6205	4647	1505	528	2961	3142	5981	3013	4225	5106	9292	895	591
"gene:Rv0050"	2152	773	1675	6935	9402	7076	6570	3856	2130	13292	10575	4048	967	5534	7033	9335	4249	4730	9183	16563	1246	883
"gene:Rv0051"	499	158	410	1944	2687	2127	2028	1092	563	3667	2782	1261	242	1450	1973	1846	994	824	2681	4395	245	197
"gene:Rv0052"	190	83	131	720	931	908	737	428	227	1565	1230	586	137	602	911	647	322	282	885	1452	72	51
"gene:Rv0053"	382	158	342	953	927	679	1555	867	493	3302	2524	772	117	1143	688	1164	586	645	1918	3511	543	294
"gene:Rv0054"	487	283	411	1147	1512	911	1893	1099	690	4819	3452	1372	216	1597	1673	1467	686	865	2914	4802	401	298
"gene:Rv0055"	33	34	41	104	161	91	146	85	62	541	380	107	24	172	141	112	42	73	398	585	45	30
"gene:Rv0056"	328	102	262	659	824	595	780	462	375	2660	2035	797	136	796	709	692	270	358	2118	3204	211	156
"gene:Rv0057"	69	43	83	283	351	252	304	190	146	1566	1160	423	52	332	407	282	142	135	845	1319	81	52
"gene:Rv0058"	1387	458	883	5184	6344	4773	3267	2595	1949	11846	9466	3558	410	2562	4280	2246	1173	1227	9624	15928	453	362
"gene:Rv0059"	152	35	117	898	1136	965	410	395	216	1796	1489	498	71	366	524	234	116	106	1549	2464	76	70
"gene:Rv0060"	877	544	978	2632	3103	2614	2203	1679	1151	4690	3974	1296	325	1837	2714	1557	648	746	3881	6142	407	352
"gene:Rv0061c"	1681	846	1571	6587	6494	4855	9193	5018	2753	7755	5358	2130	1034	6313	3754	4905	2165	2641	6838	12005	1757	1253
"gene:Rv0062"	365	175	329	1144	1310	848	1029	553	294	4322	3587	1458	122	668	468	799	404	486	3321	5761	147	87
"gene:Rv0063"	318	128	210	920	1303	900	747	492	264	2816	2317	798	57	385	390	234	143	197	2241	4204	156	115
"gene:Rv0064"	2322	1654	2574	3396	4748	3970	6461	3144	2121	7468	5729	2161	558	3205	4741	5811	3020	2591	4428	7425	1860	1382
"gene:Rv0064A"	13	13	10	31	27	24	50	22	10	55	30	13	2	23	17	35	14	23	44	52	21	9
"gene:Rv0065"	99	39	115	237	328	219	329	183	76	545	389	174	44	182	218	210	95	54	290	396	134	97
"gene:Rv0066c"	979	503	914	2540	3103	2230	2424	1468	1013	5284	4186	1460	336	1762	2000	2017	942	1273	4942	8690	706	523
"gene:Rv0067c"	39	39	86	105	203	149	214	85	40	242	182	65	12	72	119	121	51	80	141	303	35	28
"gene:Rv0068"	84	38	133	241	265	220	420	199	97	275	221	86	24	211	242	195	108	85	217	418	81	49
"gene:Rv0069c"	578	294	600	1997	2542	2034	2906	1871	990	3971	2986	1153	166	1275	1179	1438	687	596	2222	3742	544	390
"gene:Rv0070c"	467	242	483	1488	1555	1121	1857	1275	755	3202	2504	874	266	1411	722	1251	568	716	1719	2952	955	674
"gene:Rv0071"	16	13	38	56	99	49	86	59	37	155	107	44	11	67	103	77	38	36	102	222	20	19
"gene:Rv0072"	1205	537	1096	2808	3284	2437	3784	2047	1295	6435	4942	1858	348	2130	2712	1362	591	708	4207	6534	589	492
"gene:Rv0073"	758	336	548	1801	2425	1774	2278	1246	887	3983	2855	1292	177	1136	1776	861	334	414	2833	4677	318	262
"gene:Rv0074"	424	139	309	1151	1659	1430	1709	1000	535	2271	1676	772	141	832	1249	517	286	272	1263	2180	209	200
"gene:Rv0075"	542	207	412	1466	2095	1511	2210	1264	780	2654	2062	882	168	1074	1363	888	407	403	2051	3397	414	380
"gene:Rv0076c"	93	63	115	156	117	84	315	202	108	233	166	53	24	138	51	220	165	186	250	370	254	272
"gene:Rv0077c"	79	54	107	143	116	122	136	90	42	146	69	51	31	141	73	942	539	705	237	430	234	322
"gene:Rv0078"	33	29	35	136	172	88	157	94	52	288	228	87	11	71	30	73	51	61	218	460	41	36
"gene:Rv0078A"	349	203	413	814	1123	961	1154	635	351	1555	1214	562	168	1024	1078	1671	852	964	998	1860	292	222
"gene:Rv0078B"	33	3	22	25	48	42	39	14	20	47	34	15	4	46	34	80	29	41	40	49	5	9
"gene:Rv0079"	5579	3359	4640	2005	12996	10770	9677	8204	8082	553	752	478	126	851	838	6362	5560	10461	1032	2092	245	938
"gene:Rv0080"	1212	721	1234	44	1257	1185	880	1084	1948	229	208	133	107	482	681	4592	3826	5824	133	260	23	36
"gene:Rv0081"	110	66	71	101	143	67	530	197	259	360	220	145	4	68	70	386	312	417	73	128	10	18
"gene:Rv0082"	65	28	37	74	107	60	283	75	111	275	128	95	1	25	26	139	95	179	73	104	4	4
"gene:Rv0083"	199	90	102	290	462	220	1232	415	369	1160	652	440	35	178	257	919	555	1144	290	548	35	21
"gene:Rv0084"	284	117	266	471	735	585	1619	592	423	1517	892	602	57	384	351	824	427	996	468	890	130	73
"gene:Rv0085"	80	38	67	169	243	195	621	153	184	487	302	204	16	87	137	368	247	399	126	248	27	13
"gene:Rv0086"	456	194	311	1021	1477	1056	2607	922	790	2146	1410	756	125	562	798	1052	616	996	868	1521	133	117
"gene:Rv0087"	267	114	196	543	759	478	1327	442	442	1391	851	440	53	311	386	760	469	656	625	1094	81	64
"gene:Rv0088"	406	241	385	497	827	587	1313	644	504	1387	1054	498	40	288	223	500	221	325	1063	1648	225	168
"gene:Rv0089"	184	80	172	345	387	321	632	326	180	836	629	348	61	239	169	314	139	210	557	902	185	151
"gene:Rv0090"	43	19	43	99	92	83	140	55	43	173	138	49	20	47	36	57	39	43	117	177	38	22
"gene:Rv0091"	68	66	73	259	375	201	253	184	119	607	433	160	16	199	141	313	132	172	522	752	73	38
"gene:Rv0092"	617	365	626	1530	2205	1843	1613	970	544	2811	2067	867	233	1381	1685	2043	1058	1158	1610	3018	338	304
"gene:Rv0093c"	114	54	117	240	472	344	421	236	150	774	538	252	58	352	455	621	331	406	351	745	100	65
"gene:Rv0094c"	46	66	106	167	205	191	122	72	48	348	280	109	44	218	298	248	178	153	257	531	40	43
"gene:Rv0095c"	35	27	31	54	65	46	67	49	28	106	67	36	7	98	91	100	35	47	95	138	25	15
"gene:Rv0096"	94	55	89	115	130	121	93	86	84	584	497	142	15	72	109	148	46	93	188	362	44	23
"gene:Rv0097"	133	56	134	184	184	213	296	194	161	651	569	112	37	198	215	235	121	119	354	625	83	64
"gene:Rv0098"	42	23	65	80	87	84	53	61	44	331	275	100	13	69	107	74	41	38	169	235	34	33
"gene:Rv0099"	149	98	182	438	391	447	403	296	258	1762	1334	604	43	281	337	411	186	194	786	1302	121	76
"gene:Rv0100"	2	0	2	5	3	1	7	2	0	14	5	0	0	2	2	3	0	2	3	3	0	0
"gene:Rv0101"	797	327	589	1904	2548	2255	2592	1536	1146	9895	7648	3060	288	1237	2175	961	534	485	2666	4350	234	185
"gene:Rv0102"	1555	752	1335	2687	3825	3039	4688	2340	1629	4966	3807	1436	397	1742	2975	1473	758	753	3068	5537	818	496
"gene:Rv0103c"	1118	541	917	2802	3851	3148	3995	2164	1367	6929	5350	1874	349	2450	2611	3104	1604	1816	3981	7103	624	469
"gene:Rv0104"	353	126	221	363	370	251	1582	781	470	680	518	211	16	99	130	123	59	95	252	417	417	335
"gene:Rv0105c"	0	0	0	5	2	0	6	1	1	18	15	9	1	6	2	1	2	1	5	5	3	1
"gene:Rv0106"	43	25	31	112	168	85	201	76	53	1379	1193	472	65	263	283	576	346	450	178	312	60	53
"gene:Rv0107c"	2998	1054	2538	9721	13429	9958	18600	9822	5481	15773	11481	5415	2584	14311	18550	7089	3171	3310	6077	10696	1864	1421
"gene:Rv0108c"	7823	3389	5840	12844	12592	8885	24094	14908	9571	18798	12465	4904	2247	14505	13450	7802	3233	5025	14996	25644	4887	3672
"gene:Rv0109"	301	119	192	451	615	443	843	454	319	849	650	288	108	578	710	428	193	244	448	697	168	155
"gene:Rv0110"	260	117	159	498	674	440	757	372	276	1075	771	280	71	370	585	379	230	250	846	1394	109	83
"gene:Rv0111"	430	177	278	1430	1965	1167	1745	1096	625	3083	2433	1026	132	671	597	368	216	201	1980	3284	137	110
"gene:Rv0112"	628	213	493	2394	2302	1507	1828	844	576	2407	1628	500	234	1513	1143	610	280	376	2050	3306	265	257
"gene:Rv0113"	383	115	259	1197	1315	942	925	488	291	1208	972	395	81	709	556	315	178	192	1262	2114	133	109
"gene:Rv0114"	118	49	86	331	393	329	286	134	97	414	319	119	23	285	247	129	50	49	385	589	55	24
"gene:Rv0115"	269	122	248	909	1309	1073	1003	450	346	1116	812	416	119	677	763	409	216	240	939	1582	153	113
"gene:Rv0116c"	551	307	443	712	879	670	1725	933	577	955	669	226	131	1013	1115	3688	1624	2049	836	1446	569	377
"gene:Rv0117"	238	136	160	260	306	222	659	397	213	421	347	122	39	292	294	345	191	247	312	505	232	150
"gene:Rv0118c"	1538	607	1223	1242	1714	1243	3390	1752	895	2538	1863	661	420	2819	3712	3973	2000	1825	914	1590	309	197
"gene:Rv0119"	488	139	372	804	915	693	1529	915	398	2587	1821	848	292	1692	1541	2186	848	1076	652	1292	157	93
"gene:Rv0120c"	2410	1186	1958	2218	2994	2159	5206	3088	1839	2802	2027	818	333	1701	2307	1157	614	708	1605	2997	1845	1436
"gene:Rv0121c"	132	83	120	241	304	300	273	195	124	349	272	85	22	119	155	268	130	157	294	596	96	73
"gene:Rv0122"	12	21	30	34	17	15	34	28	16	25	31	9	3	22	7	42	34	34	46	70	29	12
"gene:Rv0123"	58	24	55	86	98	53	108	84	37	106	62	18	16	51	58	124	70	111	134	252	56	56
"gene:Rv0124"	63	23	71	119	202	149	214	114	63	235	176	79	16	120	205	205	93	126	116	165	48	58
"gene:Rv0125"	1394	516	1055	3346	4556	3183	3818	2050	1482	5704	4379	1700	562	2691	3435	4208	1946	2544	3661	6812	675	539
"gene:Rv0126"	839	437	898	2514	3085	2321	2568	1491	944	4735	3902	1282	378	2259	2602	2558	1182	1313	3308	6268	688	566
"gene:Rv0127"	543	229	481	1812	2439	2010	2169	1334	612	3649	2746	1017	246	1445	1801	1515	724	777	2109	3692	324	326
"gene:Rv0128"	248	120	190	674	898	620	1022	686	327	1511	1061	396	42	495	346	357	156	183	957	1597	212	197
"gene:Rv0129c"	2673	1356	2090	6881	8756	5751	5082	3481	2091	11187	9275	3232	513	2459	2938	1150	632	1431	13400	24042	975	687
"gene:Rv0130"	83	41	78	228	273	140	255	194	102	526	385	131	8	120	96	86	53	74	409	722	74	45
"gene:Rv0131c"	368	141	234	576	653	499	965	572	350	1017	767	257	98	567	528	767	368	456	744	1305	260	201
"gene:Rv0132c"	167	97	110	214	299	248	367	209	117	417	326	106	60	371	431	879	430	568	223	497	116	85
"gene:Rv0133"	743	258	499	1603	2147	1614	2177	1148	708	3422	2318	1188	301	1606	2603	1558	875	966	2493	4208	328	224
"gene:Rv0134"	716	324	521	1907	2634	1954	2664	1207	765	4864	3654	1435	290	1900	3087	2463	1216	1368	2706	4587	297	291
"gene:Rv0135c"	764	745	1128	1417	1920	1389	2417	1131	627	2973	2271	982	746	3640	4418	5101	2629	2444	1927	3303	319	297
"gene:Rv0136"	1153	1093	1360	556	717	570	3462	1458	878	898	771	286	501	2968	4553	5808	2644	2435	532	850	225	196
"gene:Rv0137c"	710	431	619	1089	1156	955	1826	1179	671	1559	1145	367	189	1256	1723	2394	1058	1149	1575	3012	615	519
"gene:Rv0138"	169	74	166	349	416	308	700	348	197	756	614	227	76	373	516	401	172	161	549	942	125	114
"gene:Rv0139"	485	211	425	839	1244	931	1756	867	587	1791	1377	586	105	570	854	401	194	186	1215	2243	179	98
"gene:Rv0140"	981	872	1171	351	489	378	601	352	199	813	695	229	57	381	409	600	320	420	633	1171	192	171
"gene:Rv0141c"	596	347	515	923	1011	786	1868	1099	697	1787	1295	503	142	954	1177	1017	519	630	1380	2184	303	222
"gene:Rv0142"	876	348	664	1232	1462	1194	3083	1631	1017	1781	1268	424	151	1111	1333	783	424	438	816	1471	517	442
"gene:Rv0143c"	890	427	759	2479	3357	2423	3699	1783	1141	4158	2898	1380	474	2456	3394	2370	1057	1304	3062	5403	409	300
"gene:Rv0144"	4968	1680	3755	8508	9382	6558	21520	10285	6971	7512	5734	1979	1203	7364	12246	4367	1862	1976	6667	10031	2627	2082
"gene:Rv0145"	2373	939	1927	7335	10726	8577	21699	8656	5111	6778	5290	2353	1094	7295	8162	8416	3954	3796	4335	7231	1636	1137
"gene:Rv0146"	560	230	663	1859	3015	2433	3401	1472	766	1818	1481	595	992	6491	6018	6456	2991	2830	1415	2553	288	232
"gene:Rv0147"	1898	749	1439	3464	4790	3676	5863	3048	1926	5056	3658	1476	1523	9499	11904	11692	5143	4804	4840	8239	984	737
"gene:Rv0148"	894	381	643	1878	2655	1897	3156	1579	1001	3035	2294	901	642	4415	5393	5481	2550	2429	2538	4196	681	530
"gene:Rv0149"	638	247	523	1714	2523	2139	3118	1560	936	2259	1760	736	532	3417	4755	3964	1787	1602	2170	3577	541	399
"gene:Rv0150c"	20	13	29	80	68	43	107	45	35	201	160	100	11	77	34	59	22	15	105	186	69	38
"gene:Rv0151c"	209	92	237	629	710	504	762	469	261	1100	823	188	56	405	497	313	145	138	736	1298	177	165
"gene:Rv0152c"	129	51	120	417	509	468	602	310	156	828	672	239	65	369	342	350	187	182	509	716	131	127
"gene:Rv0153c"	519	199	308	971	1083	880	884	601	403	1567	1404	504	152	823	1060	848	421	492	1379	2619	264	221
"gene:Rv0154c"	754	399	697	1368	1803	1395	1601	1097	617	2862	2330	722	252	1423	2135	1585	723	777	3071	5234	381	328
"gene:Rv0155"	252	87	220	653	826	535	572	311	215	2534	2116	782	57	418	525	275	126	198	2533	4065	74	58
"gene:Rv0156"	35	16	26	140	164	106	88	74	31	383	312	132	10	95	80	53	16	21	547	828	14	17
"gene:Rv0157"	816	306	533	2418	3547	2706	2025	1055	804	7525	5980	2533	190	1171	1495	1028	510	685	6934	12383	354	261
"gene:Rv0157A"	389	240	304	459	713	417	1373	851	491	586	348	157	111	795	695	689	310	478	497	790	456	371
"gene:Rv0158"	515	330	575	922	1486	837	1272	581	369	2518	2132	738	153	1011	1060	1160	465	623	1780	2671	239	151
"gene:Rv0159c"	77	60	52	256	238	144	226	159	79	424	358	93	20	130	118	123	49	93	369	740	101	43
"gene:Rv0160c"	71	22	54	85	101	65	171	133	92	142	127	21	14	155	167	127	60	117	103	158	65	63
"gene:Rv0161"	109	67	105	278	407	261	339	135	132	653	485	211	29	171	171	170	99	84	440	804	77	67
"gene:Rv0162c"	248	102	167	529	926	638	1173	521	310	1287	909	410	119	628	906	527	263	377	593	994	129	96
"gene:Rv0163"	49	22	78	93	127	116	175	107	55	212	190	70	22	83	110	109	72	75	212	381	44	26
"gene:Rv0164"	1434	690	1614	3740	4422	3142	5406	2986	1669	6284	4278	1312	471	2884	2205	1907	826	1122	5685	9993	856	536
"gene:Rv0165c"	1333	564	1145	3868	3719	2729	8751	4670	2323	5672	3780	1628	97	644	1448	780	343	359	1545	2465	1999	1458
"gene:Rv0166"	7378	2695	4682	13249	15218	10101	34527	17523	11277	16899	12494	5306	399	2296	5225	1843	854	1126	6408	10429	3855	2821
"gene:Rv0167"	4373	1678	2882	10089	10440	7666	24055	12721	7744	13383	10201	3932	241	1228	2364	1018	464	949	6308	10844	2437	2131
"gene:Rv0168"	1186	473	892	3283	4429	3109	5978	3432	1881	4901	3456	1389	110	487	990	567	238	432	2987	5249	866	624
"gene:Rv0169"	3193	1386	2307	8231	10497	7843	14709	9545	5606	10626	7760	3416	190	896	1510	893	492	916	8086	13491	2507	1782
"gene:Rv0170"	1835	641	1380	5821	7489	5172	8999	5907	3233	6372	4951	1754	119	645	1073	642	345	542	5042	8183	1430	1231
"gene:Rv0171"	4070	1653	3668	15085	19438	14614	22201	15040	8004	17833	13981	5632	285	1624	2228	1440	847	1272	11527	19508	3356	2355
"gene:Rv0172"	3746	1354	3296	15551	19177	14859	21871	14647	7749	15726	12574	4714	320	1446	2146	1550	791	1081	11108	18664	3066	2229
"gene:Rv0173"	3227	1293	2845	12751	15596	12240	19978	12787	7317	13214	9885	4398	277	1264	1923	1277	676	904	8195	13687	1992	1475
"gene:Rv0174"	5672	2274	5237	20750	27050	19018	38883	23545	12440	25073	18151	7038	452	2691	3811	2553	1158	1682	15665	26722	3544	2639
"gene:Rv0175"	872	289	662	2593	4267	3115	6829	3373	1867	4791	3024	1482	216	1485	1676	1565	723	744	2629	4513	496	372
"gene:Rv0176"	675	282	595	3004	4099	3346	5159	2227	1364	6321	4676	2482	292	1667	1889	1626	766	915	3070	5075	386	317
"gene:Rv0177"	587	261	590	2273	2621	2047	3264	1586	953	4489	3550	1349	233	1361	1457	1356	511	537	3452	5771	437	305
"gene:Rv0178"	1083	457	1135	4414	5625	4399	6125	3056	1616	9305	7093	2596	415	2798	2782	2675	1039	1039	5366	9266	778	611
"gene:Rv0179c"	663	379	636	2817	2679	1767	1947	1201	641	8555	7170	2739	156	908	1012	660	320	404	9904	17554	511	407
"gene:Rv0180c"	494	240	429	1491	1646	1295	1512	860	622	2806	2002	896	185	927	1421	985	387	474	2031	3645	319	252
"gene:Rv0181c"	146	100	213	587	676	586	626	376	204	1043	840	299	104	615	972	580	290	292	886	1411	136	113
"gene:Rv0182c"	570	240	541	1507	1899	1529	1758	942	652	2911	2307	1014	317	1752	2828	2226	1101	1044	2263	3512	396	245
"gene:Rv0183"	297	180	264	728	875	626	945	532	310	2325	1900	720	94	440	654	462	201	224	1529	2634	89	85
"gene:Rv0184"	370	154	333	1327	1353	1029	1289	636	422	2573	2437	800	251	1360	2033	869	409	426	2027	3653	157	118
"gene:Rv0185"	70	36	80	222	326	241	290	136	94	636	498	146	17	190	311	122	72	62	335	615	17	17
"gene:Rv0186"	756	280	702	2370	3536	2683	3458	1783	993	6551	4810	2100	366	2264	3539	1423	701	794	2992	5430	405	231
"gene:Rv0186A"	1486	1603	5230	770	909	842	1117	708	500	1121	854	364	41	239	251	1731	925	1545	1309	2375	1760	1178
"gene:Rv0187"	157	50	118	317	488	382	347	151	89	884	620	234	48	235	328	294	160	164	496	999	52	48
"gene:Rv0188"	627	356	561	468	537	362	658	380	297	864	597	315	37	247	292	1146	712	804	780	1468	310	265
"gene:Rv0189c"	1073	583	1020	2662	3705	2852	3338	1625	1131	6100	4812	1804	329	2338	3197	2456	1162	1358	4279	7542	644	538
"gene:Rv0190"	839	581	890	1497	1954	1505	1523	889	628	1682	1274	661	164	781	1280	1525	743	838	3079	5427	1059	893
"gene:Rv0191"	357	198	432	989	1462	1051	1164	594	359	2324	1789	737	137	736	1109	707	359	412	1468	2905	273	202
"gene:Rv0192"	1144	502	1009	3678	4610	3334	6422	3191	1846	5421	4222	1678	591	2900	4018	3690	1819	2374	4063	6821	694	394
"gene:Rv0192A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gene:Rv0193c"	175	53	111	364	337	271	525	275	133	597	457	185	54	377	323	261	122	165	508	908	139	121
"gene:Rv0194"	73	38	47	155	190	158	220	112	66	290	230	133	33	145	156	267	161	185	258	515	45	38
"gene:Rv0195"	10	2	10	34	124	131	22	13	2	41	32	8	3	12	16	36	25	19	31	32	17	12
"gene:Rv0196"	19	3	13	41	36	31	58	25	25	236	173	40	17	62	60	118	39	77	231	345	7	10
"gene:Rv0197"	103	56	95	220	286	256	398	236	126	1013	883	254	57	322	390	722	396	432	859	1524	174	104
"gene:Rv0198c"	1579	681	1510	4678	5854	4354	6052	2967	1803	10230	8500	2519	659	3819	3596	3215	1506	1636	6402	11527	1074	833
"gene:Rv0199"	169	68	137	348	481	269	376	187	134	702	660	185	22	199	230	194	101	113	555	925	63	35
"gene:Rv0200"	314	157	220	796	1090	770	1041	620	360	1789	1501	656	90	470	623	358	223	283	1143	1975	149	107
