"ERR2103718_sorted"	"ERR2103722_sorted"	"ERR2103723_sorted"
"putative_sRNA:m1400000_1400390"	328	269	156
"putative_sRNA:p1404636_1404974"	4	10	14
"putative_sRNA:m1409375_1409460"	94	88	79
"putative_sRNA:m1412439_1413225"	186	155	185
"putative_sRNA:p1420043_1420770"	310	373	301
"putative_sRNA:m1437402_1437902"	2	4	2
"putative_sRNA:p1471592_1471813"	1827	1031	1148
"putative_sRNA:m1472881_1472953"	128	300	315
"putative_sRNA:m1473010_1473079"	93	166	147
"putative_sRNA:m1473149_1473247"	119	250	258
"putative_sRNA:m1473909_1474188"	142	86	137
"putative_sRNA:m1476314_1476516"	528	1071	1178
"putative_sRNA:m1476635_1476783"	30	7	20
"putative_sRNA:p1477026_1477887"	165	251	198
"putative_sRNA:p1481426_1481864"	4	11	9
"putative_sRNA:p1481912_1482449"	12	12	6
"putative_sRNA:p1483509_1484022"	43	97	63
"putative_sRNA:m1486624_1486902"	59	84	71
"putative_sRNA:p1491075_1491412"	15	14	14
"putative_sRNA:p1522474_1522943"	13	24	12
"putative_sRNA:p1524631_1525190"	110	184	166
"putative_sRNA:m1530035_1530745"	96	182	119
"putative_sRNA:p1535563_1535874"	126	154	162
"putative_sRNA:p1547129_1547275"	833	602	704
"putative_sRNA:m1548515_1548749"	93	97	56
"putative_sRNA:m1560878_1561418"	36	46	47
"putative_sRNA:p1574058_1574716"	35	17	14
"putative_sRNA:p1602436_1602720"	9	6	2
"putative_sRNA:m1606955_1607363"	15	26	23
"putative_sRNA:m1607430_1608018"	45	102	72
"putative_sRNA:p1628636_1629485"	109	89	76
"putative_sRNA:p1639985_1640604"	188	175	134
"putative_sRNA:m1659768_1660077"	52	59	49
"putative_sRNA:m1678019_1678632"	13	24	20
"putative_sRNA:m1697431_1698082"	498	542	525
"putative_sRNA:m1702428_1702764"	185	208	182
"putative_sRNA:p1705900_1706425"	4	16	7
"putative_sRNA:p1725083_1725349"	16	29	24
"putative_sRNA:m1728722_1728862"	249	153	221
"putative_sRNA:m1745577_1745788"	22	28	19
"putative_sRNA:m1749565_1749877"	19	32	31
"putative_sRNA:m1756719_1756992"	20	22	24
"putative_sRNA:p1771065_1771431"	49	51	35
"putative_sRNA:p1785797_1785977"	15	18	11
"putative_sRNA:p1786235_1787229"	17	44	24
"putative_sRNA:p1788544_1789146"	161	113	141
"putative_sRNA:m1830598_1830748"	91	134	108
"putative_sRNA:m1833282_1833497"	24	20	29
"putative_sRNA:m1837169_1837372"	11	25	9
"putative_sRNA:p1849439_1849802"	29	51	48
"putative_sRNA:p1849883_1850308"	185	268	190
"putative_sRNA:p1854534_1855360"	31	105	66
"putative_sRNA:m1859006_1859348"	52	97	96
"putative_sRNA:p1862446_1862877"	34	49	51
"putative_sRNA:p1864018_1864294"	2	1	2
"putative_sRNA:m1870273_1870495"	10	13	12
"putative_sRNA:p1892946_1893118"	21	13	15
"putative_sRNA:p1896894_1897207"	40	80	47
"putative_sRNA:m1905852_1906341"	24	43	35
"putative_sRNA:p1933961_1934758"	54	84	137
"putative_sRNA:p1941696_1941763"	55	63	47
"putative_sRNA:p1956782_1957033"	6	26	26
"putative_sRNA:p1957414_1957592"	9	21	21
"putative_sRNA:p1960667_1961407"	1108	634	1156
"putative_sRNA:p1962173_1962531"	18	20	12
"putative_sRNA:p1970907_1971249"	113	158	118
"putative_sRNA:p1985297_1985996"	20	52	29
"putative_sRNA:m1992588_1993440"	103	170	153
"putative_sRNA:p1998947_1999675"	665	1066	845
"putative_sRNA:m2014734_2015221"	92	94	120
"putative_sRNA:p2017423_2017593"	72	62	82
"putative_sRNA:m2022822_2023437"	48	61	39
"putative_sRNA:m2034099_2034414"	21	14	9
"putative_sRNA:m2039637_2039853"	20	16	26
"putative_sRNA:m2040280_2040517"	67	74	61
"putative_sRNA:p2047604_2047795"	403	412	549
"putative_sRNA:p2055248_2055667"	87	92	59
"putative_sRNA:p2055929_2056301"	38	97	77
"putative_sRNA:m2057418_2057734"	6	20	12
"putative_sRNA:m2058035_2059284"	42	55	41
"putative_sRNA:m2074580_2074769"	18	21	21
"putative_sRNA:m2077392_2077947"	239	177	157
"putative_sRNA:p2078866_2079789"	71	107	73
"putative_sRNA:p2081572_2082135"	168	120	95
"putative_sRNA:p2083284_2083433"	21	21	11
"putative_sRNA:p2087193_2087880"	104	128	116
"putative_sRNA:p2096740_2096827"	2	1	5
"putative_sRNA:m2096828_2097114"	88	96	96
"putative_sRNA:m2106185_2106690"	126	149	116
"putative_sRNA:m2115207_2115457"	0	0	0
"putative_sRNA:m2116172_2116449"	7	4	2
"putative_sRNA:m2124453_2125115"	41	40	35
"putative_sRNA:m2127802_2128193"	102	180	145
"putative_sRNA:m2136770_2137072"	10	12	6
"putative_sRNA:p2141951_2142173"	14	16	20
"putative_sRNA:p2145615_2145822"	1	3	2
"putative_sRNA:p2145893_2146606"	103	76	62
"putative_sRNA:m2148038_2148398"	219	121	119
"putative_sRNA:m2160743_2160893"	9	9	6
"putative_sRNA:m2174912_2175197"	22	12	9
"putative_sRNA:m2177620_2178432"	9	9	7
"putative_sRNA:m2189664_2190256"	42	78	58
"putative_sRNA:m2193753_2194613"	170	448	296
"putative_sRNA:m2207201_2207499"	7	11	11
"putative_sRNA:p2222371_2222698"	119	83	107
"putative_sRNA:m2225271_2225351"	51	92	61
"putative_sRNA:m2226900_2227060"	30	35	27
"putative_sRNA:p2228709_2229474"	155	135	142
"putative_sRNA:p2232306_2232612"	106	186	150
"putative_sRNA:p2232671_2233435"	50	41	34
"putative_sRNA:p2233702_2234099"	19	31	22
"putative_sRNA:p2234949_2235396"	10	22	9
"putative_sRNA:p2243434_2244127"	31	69	100
"putative_sRNA:m2253137_2254118"	23	57	53
"putative_sRNA:p2256620_2257156"	37	73	88
"putative_sRNA:m2259693_2260147"	77	138	102
"putative_sRNA:m2281843_2282447"	8	12	6
"putative_sRNA:p2288968_2289194"	23	28	21
"putative_sRNA:m2324540_2324624"	39	59	48
"putative_sRNA:m2337170_2338039"	779	664	646
"putative_sRNA:p2338251_2338585"	208	262	246
"putative_sRNA:m2338557_2338641"	158	188	144
"putative_sRNA:m2343305_2343944"	6	19	15
"putative_sRNA:m2358589_2359119"	18	16	16
"putative_sRNA:m2359195_2359814"	438	342	269
"putative_sRNA:m2364901_2365347"	109	173	167
"putative_sRNA:p2376093_2376295"	7	16	13
"putative_sRNA:p2391995_2392598"	117	136	129
"putative_sRNA:m2401754_2401968"	3	8	4
"putative_sRNA:p2409635_2410352"	4	39	25
"putative_sRNA:p2419897_2420020"	5	3	1
"putative_sRNA:p2425390_2426120"	116	124	87
"putative_sRNA:m2435013_2435419"	28	32	28
"putative_sRNA:m2437990_2438349"	38	34	28
"putative_sRNA:m2448953_2449398"	26	39	21
"putative_sRNA:p2450051_2450485"	38	61	51
"putative_sRNA:m2459855_2460356"	15	23	24
"putative_sRNA:m2472603_2473369"	101	91	78
"putative_sRNA:m2477719_2478696"	24	30	21
"putative_sRNA:m2484712_2485079"	13	11	15
"putative_sRNA:m2497650_2498369"	131	133	107
"putative_sRNA:m2499148_2499380"	1	3	4
"putative_sRNA:m2499974_2500821"	111433	77997	78482
"putative_sRNA:p2500383_2500819"	179	117	131
"putative_sRNA:p2510345_2510415"	17	22	16
"putative_sRNA:p2512164_2512215"	10	22	24
"putative_sRNA:m2519621_2519803"	1	2	3
"putative_sRNA:p2544396_2544655"	38	26	19
"putative_sRNA:m2560551_2560672"	52	41	45
"putative_sRNA:m2567333_2568089"	116	96	61
"putative_sRNA:m2575250_2575586"	117	78	91
"putative_sRNA:m2584312_2584614"	35	34	39
"putative_sRNA:m2596867_2596971"	34	53	32
"putative_sRNA:m2600247_2600648"	59	57	71
"putative_sRNA:p2614511_2614580"	45	80	68
"putative_sRNA:m2619145_2619395"	52	49	35
"putative_sRNA:m2624022_2624456"	53	63	84
"putative_sRNA:p2625855_2626155"	23	19	27
"putative_sRNA:m2636878_2637286"	66	125	97
"putative_sRNA:p2637471_2638352"	208	382	338
"putative_sRNA:p2649638_2650133"	314	288	313
"putative_sRNA:m2651855_2651983"	17	12	14
"putative_sRNA:p2652473_2652805"	31	45	40
"putative_sRNA:p2680363_2680716"	141	227	264
"putative_sRNA:m2680422_2680787"	204	224	175
"putative_sRNA:m2692217_2692360"	10	6	6
"putative_sRNA:p2694797_2695095"	28	16	14
"putative_sRNA:p2695885_2696861"	383	356	223
"putative_sRNA:m2710081_2710149"	18	25	23
"putative_sRNA:m2718947_2719145"	22	30	16
"putative_sRNA:p2727964_2728150"	14	33	18
"putative_sRNA:p2744416_2744722"	27	53	39
"putative_sRNA:m2745032_2745213"	371	355	378
"putative_sRNA:m2765765_2766328"	35	56	50
"putative_sRNA:p2786293_2786750"	216	168	160
"putative_sRNA:p2817136_2817228"	8	15	20
"putative_sRNA:p2819220_2819627"	135	114	94
"putative_sRNA:p2828512_2829017"	350	727	866
"putative_sRNA:p2834571_2834878"	13	12	8
"putative_sRNA:p2850154_2850328"	1	7	4
"putative_sRNA:m2865822_2866758"	607	710	645
"putative_sRNA:p2870778_2871608"	14	17	26
"putative_sRNA:p2881111_2881257"	32	87	70
"putative_sRNA:m2885828_2886555"	83	33	54
"putative_sRNA:m2907494_2907744"	35	38	29
"putative_sRNA:p2912095_2912639"	42	24	37
"putative_sRNA:p2913405_2914211"	209	202	226
"putative_sRNA:p2914331_2914660"	14	20	20
"putative_sRNA:p2933737_2934065"	63	62	53
"putative_sRNA:m2949590_2949837"	3	2	3
"putative_sRNA:p2951543_2952046"	8	8	9
"putative_sRNA:m2956172_2956322"	5	0	1
"putative_sRNA:p2964866_2964997"	9	12	17
"putative_sRNA:p2977824_2978266"	18	16	17
"putative_sRNA:p2978540_2979452"	283	332	298
"putative_sRNA:p2979960_2980895"	54	45	34
"putative_sRNA:p2980925_2981118"	249	233	312
"putative_sRNA:m2982505_2983077"	80	82	125
"putative_sRNA:m2983227_2983601"	16	61	72
"putative_sRNA:p3012679_3012956"	46	25	22
"putative_sRNA:p3015860_3015983"	14	30	24
"putative_sRNA:m3023699_3024054"	39	35	34
"putative_sRNA:m3025832_3026320"	96	98	86
"putative_sRNA:m3027176_3027621"	148	114	127
"putative_sRNA:p3032927_3033294"	20	53	32
"putative_sRNA:m3034799_3034983"	69	80	62
"putative_sRNA:p3050811_3051020"	20	26	18
"putative_sRNA:p3061438_3062300"	36	71	44
"putative_sRNA:m3062947_3063188"	82	99	76
"putative_sRNA:m3064003_3064276"	24	43	33
"putative_sRNA:p3064897_3065083"	7	9	6
"putative_sRNA:p3081738_3082014"	16	23	15
"putative_sRNA:p3082534_3082704"	65	54	55
"putative_sRNA:m3094924_3095549"	15	22	24
"putative_sRNA:p3106334_3106528"	8	6	3
"putative_sRNA:p3123636_3124446"	523	2579	1515
"putative_sRNA:p3132760_3133495"	5	12	7
"putative_sRNA:p3135542_3136424"	3	8	6
"putative_sRNA:m3151034_3151103"	11	14	11
"putative_sRNA:p3154677_3154924"	9	24	10
"putative_sRNA:m3162362_3162511"	41	25	24
"putative_sRNA:m3186137_3186497"	16	41	36
"putative_sRNA:m3202086_3202424"	41	34	36
"putative_sRNA:p3205507_3205750"	25	28	20
"putative_sRNA:p3210758_3211238"	12	16	11
"putative_sRNA:p3221722_3222237"	3	3	3
"putative_sRNA:p3281523_3281801"	73	58	47
"putative_sRNA:m3285774_3286258"	43	47	32
"putative_sRNA:m3287664_3287850"	1	0	2
"putative_sRNA:p3297864_3298150"	1	7	3
"putative_sRNA:m3308858_3309184"	23	53	53
"putative_sRNA:p3318181_3318441"	33	37	31
"putative_sRNA:p3325702_3325799"	103	134	111
"putative_sRNA:p3331787_3332487"	209	331	258
"putative_sRNA:m3348107_3348464"	5	19	11
"putative_sRNA:m3356183_3356921"	119	255	201
"putative_sRNA:p3359409_3359868"	46	81	80
"putative_sRNA:p3368482_3368622"	17	16	5
"putative_sRNA:p3370499_3370612"	2	4	2
"putative_sRNA:p3381321_3382075"	326	690	866
"putative_sRNA:p3382088_3382463"	19	36	54
"putative_sRNA:p3382631_3383138"	31	40	39
"putative_sRNA:m3388896_3388983"	169	280	208
"putative_sRNA:p3398832_3399244"	27	49	30
"putative_sRNA:p3402851_3403158"	6	16	9
"putative_sRNA:m3416856_3417128"	12	13	11
"putative_sRNA:p3421236_3421747"	580	449	470
"putative_sRNA:p3423253_3423494"	4	14	8
"putative_sRNA:m3425978_3426181"	17	26	20
"putative_sRNA:m3426313_3426473"	61	59	65
"putative_sRNA:p3442838_3443192"	13	7	7
"putative_sRNA:p3447453_3447642"	10	1	8
"putative_sRNA:p3461327_3461746"	30	14	13
"putative_sRNA:m3464015_3464417"	16	14	13
"putative_sRNA:m3467964_3468402"	766162	617049	641293
"putative_sRNA:p3467968_3468335"	452	468	631
"putative_sRNA:m3481609_3481985"	18	39	55
"putative_sRNA:m3481998_3482752"	307	706	829
"putative_sRNA:m3492589_3492882"	6	22	26
"putative_sRNA:p3495207_3495367"	1	1	2
"putative_sRNA:m3504397_3505256"	180	195	157
"putative_sRNA:p3531146_3531198"	0	0	0
"putative_sRNA:p3531236_3531583"	2	5	2
"putative_sRNA:m3537138_3537349"	68	89	105
"putative_sRNA:m3543725_3544109"	54	61	55
"putative_sRNA:m3547231_3547382"	7	18	6
"putative_sRNA:m3556776_3557305"	551	621	482
"putative_sRNA:m3567242_3567480"	19	19	15
"putative_sRNA:p3581659_3582195"	69	41	58
"putative_sRNA:p3583542_3584168"	145	155	126
"putative_sRNA:p3590704_3591058"	109	170	115
"putative_sRNA:m3591784_3592492"	54	50	51
"putative_sRNA:p3597807_3598429"	802	769	735
"putative_sRNA:p3621301_3621726"	32	30	35
"putative_sRNA:p3632082_3632640"	1	58	17
"putative_sRNA:p3637869_3638334"	9	7	3
"putative_sRNA:p3669983_3670309"	26	42	31
"putative_sRNA:m3680221_3680357"	5	5	9
"putative_sRNA:m3681560_3682014"	28	42	26
"putative_sRNA:p3687705_3688078"	27	20	22
"putative_sRNA:p3688420_3688810"	94	84	87
"putative_sRNA:m3698001_3698446"	151	112	108
"putative_sRNA:p3730002_3730552"	99	155	117
"putative_sRNA:p3744737_3745224"	160	209	157
"putative_sRNA:p3755769_3756382"	52	51	38
"putative_sRNA:p3775999_3776446"	48	49	43
"putative_sRNA:m3785892_3786445"	59	127	68
"putative_sRNA:m3790428_3790842"	191	232	210
"putative_sRNA:p3796925_3797195"	9	19	16
"putative_sRNA:p3798377_3798693"	92	203	119
"putative_sRNA:p3824410_3824897"	45	87	66
"putative_sRNA:m3842704_3842965"	15	25	17
"putative_sRNA:m3846602_3847194"	29	113	93
"putative_sRNA:p3846618_3846809"	83	145	167
"putative_sRNA:m3847318_3847625"	127	122	113
"putative_sRNA:p3847979_3848571"	40	155	83
"putative_sRNA:m3873542_3874418"	2	5	6
"putative_sRNA:p3877458_3877748"	14	29	27
"putative_sRNA:m3883857_3884818"	181	125	142
"putative_sRNA:p3907319_3907454"	1	3	1
"putative_sRNA:p3913610_3913903"	63	52	41
"putative_sRNA:p3916135_3916354"	18	17	19
"putative_sRNA:p3938694_3939243"	1	2	4
"putative_sRNA:m3959201_3959373"	25	31	31
"putative_sRNA:p3964744_3965125"	1	11	10
"putative_sRNA:p3968172_3968434"	110	145	133
"putative_sRNA:p3968651_3968874"	13	23	28
"putative_sRNA:p3982619_3982919"	4	6	5
"putative_sRNA:m3986981_3987214"	33	61	48
"putative_sRNA:p3995631_3996010"	18	9	25
"putative_sRNA:m4040918_4040963"	20	29	20
"putative_sRNA:p4048580_4048924"	97	117	87
"putative_sRNA:m4099226_4099466"	333	465	432
"putative_sRNA:m4100684_4100955"	759	233	475
"putative_sRNA:p4105655_4105982"	50	47	39
"putative_sRNA:m4116035_4116329"	35	35	38
"putative_sRNA:m4119697_4120166"	47	38	33
"putative_sRNA:m4121946_4122287"	7	5	10
"putative_sRNA:m4124907_4125786"	273	117	172
"putative_sRNA:m4130616_4130827"	20	28	28
"putative_sRNA:m4132386_4132790"	126	80	79
"putative_sRNA:p4136945_4137139"	20	24	17
"putative_sRNA:m4162585_4163007"	93	111	117
"putative_sRNA:m4170796_4171316"	56	65	52
"putative_sRNA:m4173629_4174179"	442	776	539
"putative_sRNA:m4177038_4177506"	18	26	15
"putative_sRNA:m4178956_4179821"	34	42	35
"putative_sRNA:m4187181_4187602"	59	58	46
"putative_sRNA:m4187765_4187942"	18	13	12
"putative_sRNA:p4189866_4190290"	264	256	210
"putative_sRNA:p4192070_4192106"	11	14	8
"putative_sRNA:p4192242_4192378"	29	33	18
"putative_sRNA:p4192795_4193159"	84	95	94
"putative_sRNA:p4198574_4198858"	24	17	13
"putative_sRNA:m4225091_4225926"	67	62	50
"putative_sRNA:m4227375_4227542"	14	11	5
"putative_sRNA:m4231851_4232070"	15	30	12
"putative_sRNA:m4246565_4246723"	12	23	24
"putative_sRNA:m4253828_4254235"	332	397	307
"putative_sRNA:p4272516_4272861"	83	93	92
"putative_sRNA:m4273920_4274337"	161	142	139
"putative_sRNA:m4275906_4276084"	5	19	9
"putative_sRNA:m4277510_4277986"	157	97	84
"putative_sRNA:m4286785_4286912"	11	18	13
"putative_sRNA:p4291329_4291518"	14	35	34
"putative_sRNA:p4302041_4302295"	12	4	8
"putative_sRNA:m4305754_4306171"	53	67	37
"putative_sRNA:p4317071_4317531"	284	294	261
"putative_sRNA:m4319602_4320444"	582	650	555
"putative_sRNA:m4351209_4351449"	18	11	10
"putative_sRNA:m4354193_4354453"	33	42	41
"putative_sRNA:m4354602_4355198"	62	84	87
"putative_sRNA:m4356127_4356344"	11	16	12
"putative_sRNA:p4362009_4362234"	14	13	8
"putative_sRNA:p4364645_4364861"	17	28	18
"putative_sRNA:p4365305_4365747"	65	178	90
"putative_sRNA:p4372931_4373234"	27	40	41
"putative_sRNA:p4387486_4388029"	6	14	14
"putative_sRNA:p4388194_4388747"	27	23	14
"putative_sRNA:p4393190_4393283"	129	173	157
"putative_sRNA:m4400725_4400874"	28	35	41
"putative_sRNA:p4404581_4404933"	70	69	56
"putative_sRNA:p4409090_4409227"	19	38	17
"putative_sRNA:p4411177_4411532"	3213	3893	3849
